Date,Conso_J1,Conso_J7,Conso_moy_3j,Conso_moy_7j,Temperature,Mois_sin,Mois_cos,Jour_semaine_sin,Jour_semaine_cos,Est_weekend,Est_ferie,Tempo,Consommation
2012-02-10,92868.15,89247.92,92713.70,89099.31,-3.05,0.87,0.50,-0.43,-0.90,0,0,-1,90262.65
2012-02-11,90262.65,85132.44,92409.16,89244.27,-4.21,0.87,0.50,-0.97,-0.22,1,0,-1,87951.19
2012-02-12,87951.19,83021.79,90360.66,89646.95,-3.85,0.87,0.50,-0.78,0.62,1,0,-1,85201.92
2012-02-13,85201.92,88151.90,87805.25,89958.39,0.48,0.87,0.50,0.00,1.00,0,0,-1,86770.69
2012-02-14,86770.69,91176.27,86641.26,89761.08,3.44,0.87,0.50,0.78,0.62,0,0,-1,82480.38
2012-02-15,82480.38,94096.69,84817.66,88518.81,4.56,0.87,0.50,0.97,-0.22,0,0,-1,79161.94
2012-02-16,79161.94,92868.15,82804.33,86385.27,5.29,0.87,0.50,0.43,-0.90,0,0,-1,75592.17
2012-02-17,75592.17,90262.65,79078.16,83917.27,4.72,0.87,0.50,-0.43,-0.90,0,0,-1,73674.50
2012-02-18,73674.50,87951.19,76142.87,81547.54,6.64,0.87,0.50,-0.97,-0.22,1,0,-1,65881.40
2012-02-19,65881.40,85201.92,71716.02,78394.71,4.44,0.87,0.50,-0.78,0.62,1,0,-1,63513.67
2012-02-20,63513.67,86770.69,67689.85,75296.39,1.65,0.87,0.50,0.00,1.00,0,0,-1,73164.90
2012-02-21,73164.90,82480.38,67519.99,73352.71,1.57,0.87,0.50,0.78,0.62,0,0,-1,75257.71
2012-02-22,75257.71,79161.94,70645.42,72320.90,2.49,0.87,0.50,0.97,-0.22,0,0,-1,74044.33
2012-02-23,74044.33,75592.17,74155.65,71589.81,6.65,0.87,0.50,0.43,-0.90,0,0,-1,71536.21
2012-02-24,71536.21,73674.50,73612.75,71010.39,8.75,0.87,0.50,-0.43,-0.90,0,0,-1,66859.73
2012-02-25,66859.73,65881.40,70813.42,70036.85,8.69,0.87,0.50,-0.97,-0.22,1,0,-1,59540.06
2012-02-26,59540.06,63513.67,65978.67,69130.94,7.59,0.87,0.50,-0.78,0.62,1,0,-1,56208.52
2012-02-27,56208.52,73164.90,60869.44,68087.35,6.73,0.87,0.50,0.00,1.00,0,0,-1,65821.25
2012-02-28,65821.25,75257.71,60523.28,67038.26,7.68,0.87,0.50,0.78,0.62,0,0,-1,66179.42
2012-02-29,66179.42,74044.33,62736.40,65741.36,8.63,0.87,0.50,0.97,-0.22,0,0,-1,63683.10
2012-03-01,63683.10,71536.21,65227.92,64261.18,8.85,1.00,0.00,0.43,-0.90,0,0,-1,62745.42
2012-03-02,62745.42,66859.73,64202.65,63005.36,9.77,1.00,0.00,-0.43,-0.90,0,0,-1,61615.85
2012-03-03,61615.85,59540.06,62681.46,62256.23,9.47,1.00,0.00,-0.97,-0.22,1,0,-1,56129.65
2012-03-04,56129.65,56208.52,60163.64,61769.03,8.22,1.00,0.00,-0.78,0.62,1,0,-1,54495.71
2012-03-05,54495.71,65821.25,57413.74,61524.34,5.60,1.00,0.00,0.00,1.00,0,0,-1,66384.94
2012-03-06,66384.94,66179.42,59003.43,61604.87,5.25,1.00,0.00,0.78,0.62,0,0,-1,68978.56
2012-03-07,68978.56,63683.10,63286.40,62004.75,4.71,1.00,0.00,0.97,-0.22,0,0,-1,69810.54
2012-03-08,69810.54,62745.42,68391.35,62880.10,6.17,1.00,0.00,0.43,-0.90,0,0,-1,67611.56
2012-03-09,67611.56,61615.85,68800.22,63575.26,6.13,1.00,0.00,-0.43,-0.90,0,0,-1,66864.75
2012-03-10,66864.75,56129.65,68095.62,64325.10,8.29,1.00,0.00,-0.97,-0.22,1,0,-1,59017.62
2012-03-11,59017.62,54495.71,64497.98,64737.67,9.77,1.00,0.00,-0.78,0.62,1,0,-1,54402.56
2012-03-12,54402.56,66384.94,60094.98,64724.36,9.23,1.00,0.00,0.00,1.00,0,0,-1,60345.98
2012-03-13,60345.98,68978.56,57922.06,63861.65,9.61,1.00,0.00,0.78,0.62,0,0,-1,60135.81
2012-03-14,60135.81,69810.54,58294.78,62598.40,9.60,1.00,0.00,0.97,-0.22,0,0,-1,59047.56
2012-03-15,59047.56,67611.56,59843.12,61060.84,10.48,1.00,0.00,0.43,-0.90,0,0,-1,58281.77
2012-03-16,58281.77,66864.75,59155.05,59728.01,11.31,1.00,0.00,-0.43,-0.90,0,0,-1,56691.38
2012-03-17,56691.38,59017.62,58006.90,58274.67,10.16,1.00,0.00,-0.97,-0.22,1,0,-1,52359.75
2012-03-18,52359.75,54402.56,55777.63,57323.54,8.52,1.00,0.00,-0.78,0.62,1,0,-1,52264.08
2012-03-19,52264.08,60345.98,53771.74,57018.05,6.95,1.00,0.00,0.00,1.00,0,0,-1,61517.92
2012-03-20,61517.92,60135.81,55380.58,57185.47,6.73,1.00,0.00,0.78,0.62,0,0,-1,63415.29
2012-03-21,63415.29,59047.56,59065.76,57653.96,9.03,1.00,0.00,0.97,-0.22,0,0,-1,62070.21
2012-03-22,62070.21,58281.77,62334.47,58085.77,11.75,1.00,0.00,0.43,-0.90,0,0,-1,58927.27
2012-03-23,58927.27,56691.38,61470.92,58177.99,11.76,1.00,0.00,-0.43,-0.90,0,0,-1,55978.81
2012-03-24,55978.81,52359.75,58992.10,58076.19,12.51,1.00,0.00,-0.97,-0.22,1,0,-1,48605.77
2012-03-25,48605.77,52264.08,54503.95,57539.91,12.97,1.00,0.00,-0.78,0.62,1,0,-1,44959.83
2012-03-26,44959.83,61517.92,49848.14,56496.44,13.25,1.00,0.00,0.00,1.00,0,0,-1,51670.17
2012-03-27,51670.17,63415.29,48411.92,55089.62,12.76,1.00,0.00,0.78,0.62,0,0,-1,52569.69
2012-03-28,52569.69,62070.21,49733.23,53540.25,13.08,1.00,0.00,0.97,-0.22,0,0,-1,52231.04
2012-03-29,52231.04,58927.27,52156.97,52134.65,12.73,1.00,0.00,0.43,-0.90,0,0,-1,51911.08
2012-03-30,51911.08,55978.81,52237.27,51132.34,12.28,1.00,0.00,-0.43,-0.90,0,0,-1,51304.50
2012-03-31,51304.50,48605.77,51815.54,50464.58,10.73,1.00,0.00,-0.97,-0.22,1,0,-1,47052.35
2012-04-01,47052.35,44959.83,50089.31,50242.67,9.05,0.87,-0.50,-0.78,0.62,1,0,-1,45536.08
2012-04-02,45536.08,51670.17,47964.31,50324.99,9.84,0.87,-0.50,0.00,1.00,0,0,-1,53906.83
2012-04-03,53906.83,52569.69,48831.76,50644.51,10.87,0.87,-0.50,0.78,0.62,0,0,-1,55401.52
2012-04-04,55401.52,52231.04,51614.81,51049.06,9.71,0.87,-0.50,0.97,-0.22,0,0,-1,57126.15
2012-04-05,57126.15,51911.08,55478.17,51748.36,9.93,0.87,-0.50,0.43,-0.90,0,0,-1,57796.04
2012-04-06,57796.04,51304.50,56774.57,52589.07,9.91,0.87,-0.50,-0.43,-0.90,0,0,-1,56256.81
2012-04-07,56256.81,47052.35,57059.67,53296.54,8.64,0.87,-0.50,-0.97,-0.22,1,0,-1,51561.58
2012-04-08,51561.58,45536.08,55204.81,53940.72,7.19,0.87,-0.50,-0.78,0.62,1,0,-1,49035.56
2012-04-09,49035.56,53906.83,52284.65,54440.64,10.09,0.87,-0.50,0.00,1.00,0,1,-1,49648.60
2012-04-10,49648.60,55401.52,50081.92,53832.32,10.13,0.87,-0.50,0.78,0.62,0,0,-1,58004.12
2012-04-11,58004.12,57126.15,52229.43,54204.12,8.67,0.87,-0.50,0.97,-0.22,0,0,-1,59326.02
2012-04-12,59326.02,57796.04,55659.58,54518.39,8.55,0.87,-0.50,0.43,-0.90,0,0,-1,58855.17
2012-04-13,58855.17,56256.81,58728.44,54669.70,8.93,0.87,-0.50,-0.43,-0.90,0,0,-1,58000.35
2012-04-14,58000.35,51561.58,58727.18,54918.77,8.60,0.87,-0.50,-0.97,-0.22,1,0,-1,52593.42
2012-04-15,52593.42,49035.56,56482.98,55066.18,7.63,0.87,-0.50,-0.78,0.62,1,0,-1,51853.27
2012-04-16,51853.27,49648.60,54149.01,55468.71,6.66,0.87,-0.50,0.00,1.00,0,0,-1,61646.92
2012-04-17,61646.92,58004.12,55364.53,57182.75,6.16,0.87,-0.50,0.78,0.62,0,0,-1,63372.27
2012-04-18,63372.27,59326.02,58957.49,57949.63,8.54,0.87,-0.50,0.97,-0.22,0,0,-1,62043.54
2012-04-19,62043.54,58855.17,62354.24,58337.85,9.31,0.87,-0.50,0.43,-0.90,0,0,-1,60811.48
2012-04-20,60811.48,58000.35,62075.76,58617.32,9.11,0.87,-0.50,-0.43,-0.90,0,0,-1,59577.06
2012-04-21,59577.06,52593.42,60810.69,58842.57,9.46,0.87,-0.50,-0.97,-0.22,1,0,-1,53115.81
2012-04-22,53115.81,51853.27,57834.78,58917.19,9.18,0.87,-0.50,-0.78,0.62,1,0,-1,50190.58
2012-04-23,50190.58,61646.92,54294.49,58679.67,8.38,0.87,-0.50,0.00,1.00,0,0,-1,59350.25
2012-04-24,59350.25,63372.27,54218.88,58351.57,9.34,0.87,-0.50,0.78,0.62,0,0,-1,60519.96
2012-04-25,60519.96,62043.54,56686.93,57944.10,10.23,0.87,-0.50,0.97,-0.22,0,0,-1,60361.31
2012-04-26,60361.31,60811.48,60077.17,57703.78,13.12,0.87,-0.50,0.43,-0.90,0,0,-1,57871.48
2012-04-27,57871.48,59577.06,59584.25,57283.78,12.92,0.87,-0.50,-0.43,-0.90,0,0,-1,55763.98
2012-04-28,55763.98,53115.81,57998.92,56739.05,14.35,0.87,-0.50,-0.97,-0.22,1,0,-1,49581.75
2012-04-29,49581.75,50190.58,54405.74,56234.19,14.64,0.87,-0.50,-0.78,0.62,1,0,-1,45619.21
2012-04-30,45619.21,59350.25,50321.65,55581.13,12.94,0.87,-0.50,0.00,1.00,0,0,-1,49843.31
2012-05-01,49843.31,60519.96,48348.09,54223.00,13.10,0.50,-0.87,0.78,0.62,0,1,-1,44046.46
2012-05-02,44046.46,60361.31,46502.99,51869.64,12.43,0.50,-0.87,0.97,-0.22,0,0,-1,52117.33
2012-05-03,52117.33,57871.48,48669.03,50691.93,13.83,0.50,-0.87,0.43,-0.90,0,0,-1,52157.44
2012-05-04,52157.44,55763.98,49440.41,49875.64,13.51,0.50,-0.87,-0.43,-0.90,0,0,-1,51306.60
2012-05-05,51306.60,49581.75,51860.46,49238.87,12.13,0.50,-0.87,-0.97,-0.22,1,0,-1,46413.75
2012-05-06,46413.75,45619.21,49959.26,48786.30,11.44,0.50,-0.87,-0.78,0.62,1,0,-1,43991.52
2012-05-07,43991.52,49843.31,47237.29,48553.77,12.51,0.50,-0.87,0.00,1.00,0,0,-1,48221.08
2012-05-08,48221.08,44046.46,46208.78,48322.03,14.37,0.50,-0.87,0.78,0.62,0,1,-1,44271.02
2012-05-09,44271.02,52117.33,45494.54,48354.11,17.19,0.50,-0.87,0.97,-0.22,0,0,-1,50286.52
2012-05-10,50286.52,52157.44,47592.87,48092.56,20.24,0.50,-0.87,0.43,-0.90,0,0,-1,50046.73
2012-05-11,50046.73,51306.60,48201.42,47791.03,18.00,0.50,-0.87,-0.43,-0.90,0,0,-1,49177.60
2012-05-12,49177.60,46413.75,49836.95,47486.89,14.07,0.50,-0.87,-0.97,-0.22,1,0,-1,43362.65
2012-05-13,43362.65,43991.52,47528.99,47051.02,11.77,0.50,-0.87,-0.78,0.62,1,0,-1,40713.96
2012-05-14,40713.96,48221.08,44418.07,46582.79,12.89,0.50,-0.87,0.00,1.00,0,0,-1,48487.98
2012-05-15,48487.98,44271.02,44188.19,46620.92,11.13,0.50,-0.87,0.78,0.62,0,0,-1,50836.81
2012-05-16,50836.81,50286.52,46679.58,47558.89,10.36,0.50,-0.87,0.97,-0.22,0,0,-1,51822.23
2012-05-17,51822.23,50046.73,50382.34,47778.28,11.64,0.50,-0.87,0.43,-0.90,0,1,-1,44776.67
2012-05-18,44776.67,49177.60,49145.24,47025.41,14.25,0.50,-0.87,-0.43,-0.90,0,0,-1,46743.42
2012-05-19,46743.42,43362.65,47780.77,46677.67,14.86,0.50,-0.87,-0.97,-0.22,1,0,-1,43949.29
2012-05-20,43949.29,40713.96,45156.46,46761.48,15.14,0.50,-0.87,-0.78,0.62,1,0,-1,42005.56
2012-05-21,42005.56,48487.98,44232.76,46945.99,13.46,0.50,-0.87,0.00,1.00,0,0,-1,51608.79
2012-05-22,51608.79,50836.81,45854.55,47391.82,14.79,0.50,-0.87,0.78,0.62,0,0,-1,52374.67
2012-05-23,52374.67,51822.23,48663.01,47611.52,17.46,0.50,-0.87,0.97,-0.22,0,0,-1,50433.12
2012-05-24,50433.12,44776.67,51472.19,47413.07,19.74,0.50,-0.87,0.43,-0.90,0,0,-1,49492.90
2012-05-25,49492.90,46743.42,50766.90,48086.82,20.92,0.50,-0.87,-0.43,-0.90,0,0,-1,48252.67
2012-05-26,48252.67,43949.29,49392.90,48302.43,19.54,0.50,-0.87,-0.97,-0.22,1,0,-1,41861.88
2012-05-27,41861.88,42005.56,46535.81,48004.23,19.18,0.50,-0.87,-0.78,0.62,1,0,-1,38096.35
2012-05-28,38096.35,51608.79,42736.97,47445.77,18.90,0.50,-0.87,0.00,1.00,0,1,-1,39702.58
2012-05-29,39702.58,52374.67,39886.94,45744.88,18.90,0.50,-0.87,0.78,0.62,0,0,-1,46957.29
2012-05-30,46957.29,50433.12,41585.41,44970.97,19.05,0.50,-0.87,0.97,-0.22,0,0,-1,48181.04
2012-05-31,48181.04,49492.90,44946.97,44649.24,18.35,0.50,-0.87,0.43,-0.90,0,0,-1,48255.48
2012-06-01,48255.48,48252.67,47797.94,44472.47,18.59,0.00,-1.00,-0.43,-0.90,0,0,-1,47649.73
2012-06-02,47649.73,41861.88,48028.75,44386.34,20.21,0.00,-1.00,-0.97,-0.22,1,0,-1,41859.77
2012-06-03,41859.77,38096.35,45921.66,44386.04,17.79,0.00,-1.00,-0.78,0.62,1,0,-1,38618.54
2012-06-04,38618.54,39702.58,42709.35,44460.63,15.23,0.00,-1.00,0.00,1.00,0,0,-1,46382.83
2012-06-05,46382.83,46957.29,42287.05,45414.96,14.14,0.00,-1.00,0.78,0.62,0,0,-1,48208.88
2012-06-06,48208.88,48181.04,44403.42,45593.75,16.92,0.00,-1.00,0.97,-0.22,0,0,-1,48264.56
2012-06-07,48264.56,48255.48,47618.76,45605.68,18.32,0.00,-1.00,0.43,-0.90,0,0,-1,48435.10
2012-06-08,48435.10,47649.73,48302.85,45631.35,16.77,0.00,-1.00,-0.43,-0.90,0,0,-1,47299.19
2012-06-09,47299.19,41859.77,47999.62,45581.27,15.14,0.00,-1.00,-0.97,-0.22,1,0,-1,41588.58
2012-06-10,41588.58,38618.54,45774.29,45542.53,15.21,0.00,-1.00,-0.78,0.62,1,0,-1,39388.77
2012-06-11,39388.77,46382.83,42758.85,45652.56,15.71,0.00,-1.00,0.00,1.00,0,0,-1,46791.88
2012-06-12,46791.88,48208.88,42589.74,45710.99,14.34,0.00,-1.00,0.78,0.62,0,0,-1,48489.23
2012-06-13,48489.23,48264.56,44889.96,45751.04,14.18,0.00,-1.00,0.97,-0.22,0,0,-1,48747.23
2012-06-14,48747.23,48435.10,48009.44,45820.00,15.88,0.00,-1.00,0.43,-0.90,0,0,-1,48406.21
2012-06-15,48406.21,47299.19,48547.56,45815.87,17.92,0.00,-1.00,-0.43,-0.90,0,0,-1,47739.31
2012-06-16,47739.31,41588.58,48297.58,45878.74,17.98,0.00,-1.00,-0.97,-0.22,1,0,-1,42082.04
2012-06-17,42082.04,39388.77,46075.85,45949.24,17.64,0.00,-1.00,-0.78,0.62,1,0,-1,38745.77
2012-06-18,38745.77,46791.88,42855.71,45857.38,18.06,0.00,-1.00,0.00,1.00,0,0,-1,46728.15
2012-06-19,46728.15,48489.23,42518.65,45848.28,17.91,0.00,-1.00,0.78,0.62,0,0,-1,48313.31
2012-06-20,48313.31,48747.23,44595.74,45823.15,19.48,0.00,-1.00,0.97,-0.22,0,0,-1,48404.33
2012-06-21,48404.33,48406.21,47815.26,45774.16,19.67,0.00,-1.00,0.43,-0.90,0,0,-1,48595.00
2012-06-22,48595.00,47739.31,48437.55,45801.13,17.46,0.00,-1.00,-0.43,-0.90,0,0,-1,47252.17
2012-06-23,47252.17,42082.04,48083.83,45731.54,17.40,0.00,-1.00,-0.97,-0.22,1,0,-1,41394.19
2012-06-24,41394.19,38745.77,45747.12,45633.27,16.94,0.00,-1.00,-0.78,0.62,1,0,-1,38913.10
2012-06-25,38913.10,46728.15,42519.82,45657.18,17.61,0.00,-1.00,0.00,1.00,0,0,-1,47188.21
2012-06-26,47188.21,48313.31,42498.50,45722.90,18.98,0.00,-1.00,0.78,0.62,0,0,-1,49247.35
2012-06-27,49247.35,48404.33,45116.22,45856.34,22.01,0.00,-1.00,0.97,-0.22,0,0,-1,49603.85
2012-06-28,49603.85,48595.00,48679.81,46027.70,23.73,0.00,-1.00,0.43,-0.90,0,0,-1,49998.06
2012-06-29,49998.06,47252.17,49616.42,46228.13,20.55,0.00,-1.00,-0.43,-0.90,0,0,-1,48354.19
2012-06-30,48354.19,41394.19,49318.70,46385.57,19.80,0.00,-1.00,-0.97,-0.22,1,0,-1,42535.40
2012-07-01,42535.40,38913.10,46962.55,46548.60,17.17,-0.50,-0.87,-0.78,0.62,1,0,-1,39046.94
2012-07-02,39046.94,47188.21,43312.17,46567.71,17.47,-0.50,-0.87,0.00,1.00,0,0,-1,46651.96
2012-07-03,46651.96,49247.35,42744.76,46491.11,19.23,-0.50,-0.87,0.78,0.62,0,0,-1,48554.42
2012-07-04,48554.42,49603.85,44751.10,46392.12,21.02,-0.50,-0.87,0.97,-0.22,0,0,-1,48971.15
2012-07-05,48971.15,49998.06,48059.17,46301.73,19.50,-0.50,-0.87,0.43,-0.90,0,0,-1,48869.35
2012-07-06,48869.35,48354.19,48798.31,46140.49,18.14,-0.50,-0.87,-0.43,-0.90,0,0,-1,47562.33
2012-07-07,47562.33,42535.40,48467.61,46027.36,18.93,-0.50,-0.87,-0.97,-0.22,1,0,-1,42013.92
2012-07-08,42013.92,39046.94,46148.53,45952.87,18.83,-0.50,-0.87,-0.78,0.62,1,0,-1,38829.54
2012-07-09,38829.54,46651.96,42801.93,45921.81,18.90,-0.50,-0.87,0.00,1.00,0,0,-1,46804.06
2012-07-10,46804.06,48554.42,42549.17,45943.54,18.54,-0.50,-0.87,0.78,0.62,0,0,-1,48405.67
2012-07-11,48405.67,48971.15,44679.76,45922.29,17.72,-0.50,-0.87,0.97,-0.22,0,0,-1,48438.54
2012-07-12,48438.54,48869.35,47882.76,45846.20,16.51,-0.50,-0.87,0.43,-0.90,0,0,-1,48714.60
2012-07-13,48714.60,47562.33,48519.60,45824.10,17.37,-0.50,-0.87,-0.43,-0.90,0,0,-1,48208.33
2012-07-14,48208.33,42013.92,48453.83,45916.38,17.32,-0.50,-0.87,-0.97,-0.22,1,1,-1,40774.40
2012-07-15,40774.40,38829.54,45899.11,45739.31,16.21,-0.50,-0.87,-0.78,0.62,1,0,-1,38800.33
2012-07-16,38800.33,46804.06,42594.35,45735.13,16.78,-0.50,-0.87,0.00,1.00,0,0,-1,46617.65
2012-07-17,46617.65,48405.67,42064.12,45708.50,19.50,-0.50,-0.87,0.78,0.62,0,0,-1,48528.65
2012-07-18,48528.65,48438.54,44648.87,45726.07,20.69,-0.50,-0.87,0.97,-0.22,0,0,-1,49116.25
2012-07-19,49116.25,48714.60,48087.51,45822.89,18.83,-0.50,-0.87,0.43,-0.90,0,0,-1,48767.81
2012-07-20,48767.81,48208.33,48804.24,45830.49,17.48,-0.50,-0.87,-0.43,-0.90,0,0,-1,47833.69
2012-07-21,47833.69,40774.40,48572.58,45776.97,16.85,-0.50,-0.87,-0.97,-0.22,1,0,-1,41869.23
2012-07-22,41869.23,38800.33,46156.91,45933.37,18.13,-0.50,-0.87,-0.78,0.62,1,0,-1,38747.69
2012-07-23,38747.69,46617.65,42816.87,45925.85,19.42,-0.50,-0.87,0.00,1.00,0,0,-1,46411.06
2012-07-24,46411.06,48528.65,42342.66,45896.34,21.34,-0.50,-0.87,0.78,0.62,0,0,-1,48349.19
2012-07-25,48349.19,49116.25,44502.65,45870.70,23.57,-0.50,-0.87,0.97,-0.22,0,0,-1,48942.85
2012-07-26,48942.85,48767.81,47901.03,45845.93,24.73,-0.50,-0.87,0.43,-0.90,0,0,-1,49351.73
2012-07-27,49351.73,47833.69,48881.26,45929.35,24.36,-0.50,-0.87,-0.43,-0.90,0,0,-1,47880.08
2012-07-28,47880.08,41869.23,48724.89,45935.98,20.98,-0.50,-0.87,-0.97,-0.22,1,0,-1,41567.75
2012-07-29,41567.75,38747.69,46266.52,45892.91,17.86,-0.50,-0.87,-0.78,0.62,1,0,-1,38084.31
2012-07-30,38084.31,46411.06,42510.72,45798.14,17.71,-0.50,-0.87,0.00,1.00,0,0,-1,44125.81
2012-07-31,44125.81,48349.19,41259.29,45471.68,19.26,-0.50,-0.87,0.78,0.62,0,0,-1,45525.98
2012-08-01,45525.98,48942.85,42578.70,45068.36,21.55,-0.87,-0.50,0.97,-0.22,0,0,-1,45664.44
2012-08-02,45664.44,49351.73,45105.41,44600.01,20.87,-0.87,-0.50,0.43,-0.90,0,0,-1,45381.58
2012-08-03,45381.58,47880.08,45524.00,44032.85,20.36,-0.87,-0.50,-0.43,-0.90,0,0,-1,44475.17
2012-08-04,44475.17,41567.75,45173.73,43546.43,20.16,-0.87,-0.50,-0.97,-0.22,1,0,-1,39991.83
2012-08-05,39991.83,38084.31,43282.86,43321.30,19.33,-0.87,-0.50,-0.78,0.62,1,0,-1,36932.83
2012-08-06,36932.83,44125.81,40466.61,43156.81,18.41,-0.87,-0.50,0.00,1.00,0,0,-1,41211.46
2012-08-07,41211.46,45525.98,39378.71,42740.47,18.91,-0.87,-0.50,0.78,0.62,0,0,-1,41945.15
2012-08-08,41945.15,45664.44,40029.81,42228.92,20.75,-0.87,-0.50,0.97,-0.22,0,0,-1,42408.35
2012-08-09,42408.35,45381.58,41854.99,41763.77,21.77,-0.87,-0.50,0.43,-0.90,0,0,-1,43103.50
2012-08-10,43103.50,44475.17,42485.67,41438.33,21.87,-0.87,-0.50,-0.43,-0.90,0,0,-1,43154.73
2012-08-11,43154.73,39991.83,42888.86,41249.69,21.39,-0.87,-0.50,-0.97,-0.22,1,0,-1,39768.98
2012-08-12,39768.98,36932.83,42009.07,41217.86,21.45,-0.87,-0.50,-0.78,0.62,1,0,-1,37100.35
2012-08-13,37100.35,41211.46,40008.02,41241.79,21.63,-0.87,-0.50,0.00,1.00,0,0,-1,41916.60
2012-08-14,41916.60,41945.15,39595.31,41342.52,22.08,-0.87,-0.50,0.78,0.62,0,0,-1,42853.15
2012-08-15,42853.15,42408.35,40623.37,41472.24,23.58,-0.87,-0.50,0.97,-0.22,0,1,-1,38893.25
2012-08-16,38893.25,43103.50,41221.00,40970.08,21.41,-0.87,-0.50,0.43,-0.90,0,0,-1,42380.56
2012-08-17,42380.56,43154.73,41375.65,40866.80,24.47,-0.87,-0.50,-0.43,-0.90,0,0,-1,43591.33
2012-08-18,43591.33,39768.98,41621.72,40929.18,27.22,-0.87,-0.50,-0.97,-0.22,1,0,-1,41013.54
2012-08-19,41013.54,37100.35,42328.48,41106.97,28.09,-0.87,-0.50,-0.78,0.62,1,0,-1,38616.85
2012-08-20,38616.85,41916.60,41073.91,41323.61,24.97,-0.87,-0.50,0.00,1.00,0,0,-1,45157.54
